DATE_INSERT;DATE_CASE;NEW_CASES;TOTAL_CASES;ID_UNISO_COUNTRY;COUNTRY_NAME;SOURCE;
"2020-06-16 21:03:52";"2020-06-16";"94";"1766";"818";"EGYPT";"https://twitter.com/mohpegypt/status/1272967655402672129/photo/4";
"2020-06-16 20:56:36";"2020-06-16";"2";"93";"478";"MAURITANIA";"https://twitter.com/maimounalo2/status/1272960519255863296";
"2020-06-16 20:29:36";"2020-06-16";"1";"4";"508";"MOZAMBIQUE";"https://twitter.com/IMocambique/status/1272943172465963009";
"2020-06-16 20:27:54";"2020-06-16";"1";"74";"148";"CHAD";"https://twitter.com/Covid19TD/status/1272945020765700098";
"2020-06-16 20:10:28";"2020-06-16";"4";"58";"288";"GHANA";"https://twitter.com/DSD_GHS/status/1272952266933317632/photo/1";
"2020-06-16 19:15:50";"2020-06-16";"4";"14";"140";"CAR";"https://twitter.com/MSPCentrafrique/status/1272933412538585096";
"2020-06-16 19:13:27";"2020-06-16";"2";"106";"466";"MALI";"https://twitter.com/GouvernementM/status/1272939439707340801";
"2020-06-16 19:06:22";"2020-06-16";"1";"105";"404";"KENYA";"https://twitter.com/MOH_Kenya/status/1272881808254873600";
"2020-06-16 18:45:29";"2020-06-16";"1";"31";"728";"SOUTH SUDAN";"https://twitter.com/TheRadioCommun1/status/1272926219126923265";
"2020-06-16 13:55:37";"2020-06-16";"1";"61";"231";"ETHIOPIA";"https://twitter.com/lia_tadesse/status/1272860115507560448/photo/4";
"2020-06-16 13:42:52";"2020-06-16";"2";"12";"450";"MADAGASCAR";"https://twitter.com/LExpressMG/status/1272844434997157888";
"2020-06-16 12:13:27";"2020-06-16";"6";"70";"686";"SENEGAL";"https://twitter.com/cousenegal/status/1272832490814701569";
"2020-06-16 20:42:14";"2020-06-15";"1";"3";"174";"COMOROS";"https://stopcoronavirus.km/actualités/2020/06/16/communiqué-n°016-du-13-juin-au-15-juin-2020/";
"2020-06-16 02:16:11";"2020-06-15";"4";"27";"266";"GABON";"https://infocovid.ga/conference-de-presse-du-lundi-15-juin-2020/";
"2020-06-16 02:08:45";"2020-06-15";"10";"777";"12";"ALGERIA";"https://www.algerie360.com/20200615-coronavirus-algerie-la-barre-des-11000-cas-infectes-franchie-15-juin/?utm_source=dlvr.it&utm_medium=twitter";
"2020-06-16 01:56:39";"2020-06-15";"4";"424";"566";"NIGERIA";"https://twitter.com/NCDCgov/status/1272662896820928512";
"2020-06-16 00:08:11";"2020-06-15";"88";"1568";"710";"SOUTH AFRICA";"https://twitter.com/DrZweliMkhize/status/1272650861433499650";
"2020-06-15 22:58:55";"2020-06-15";"4";"91";"478";"MAURITANIA";"http://www.ami.mr/Depeche-63034.html";
"2020-06-15 22:49:23";"2020-06-15";"1";"7";"132";"CAPE VERDE";"https://anacao.cv/covid-19-cabo-verde-regista-setimo-obito/";
"2020-06-15 22:25:59";"2020-06-15";"1";"46";"384";"CIV";"https://twitter.com/Covid19_CI/status/1272623326788227075";
"2020-06-15 22:18:08";"2020-06-15";"97";"1672";"818";"EGYPT";"https://twitter.com/mohpegypt/status/1272611664022601730";
"2020-06-15 22:16:20";"2020-06-15";"1";"277";"120";"CAMEROON";"https://twitter.com/SuzanneEko/status/1272613579603300355";
"2020-06-15 15:31:50";"2020-06-15";"1";"104";"404";"KENYA";"https://twitter.com/MOH_Kenya/status/1272508901754273793/photo/1";
"2020-06-15 14:56:41";"2020-06-15";"3";"60";"231";"ETHIOPIA";"https://twitter.com/FMoHealth/status/1272511338816905218/photo/2";
"2020-06-15 12:48:32";"2020-06-15";"2";"10";"434";"LIBYA";"https://www.libyaobserver.ly/inbrief/ncdc-36-new-coronavirus-cases-registered";
"2020-06-15 12:45:37";"2020-06-15";"4";"64";"686";"SENEGAL";"https://twitter.com/cousenegal/status/1272470891633483776";
"2020-06-15 23:40:00";"2020-06-14";"1";"26";"324";"GUINEA";"https://twitter.com/anss_guinee/status/1272641265587433472";
"2020-06-15 20:12:50";"2020-06-14";"3";"10";"140";"CAR";"https://twitter.com/MSPCentrafrique/status/1272589211850477568/photo/1";
"2020-06-15 15:40:21";"2020-06-14";"1";"33";"430";"LIBERIA";"https://twitter.com/NPHIL6/status/1272521478249099265";
"2020-06-15 13:57:46";"2020-06-14";"2";"27";"178";"CONGO";"https://twitter.com/CongoNN/status/1272496740126646272";
"2020-06-15 12:42:11";"2020-06-14";"2";"9";"204";"BENIN";"https://twitter.com/PresidenceBenin/status/1272474453277114369/photo/1";
"2020-06-15 11:41:18";"2020-06-14";"5";"112";"180";"DRC";"https://mailchi.mp/6f5f2c970c81/covid-19-bulletin-n83-du-dimanche-14-juin-2020";
"2020-06-15 01:08:24";"2020-06-14";"13";"420";"566";"NIGERIA";"https://twitter.com/NCDCgov/status/1272298693904027657";
"2020-06-14 23:13:58";"2020-06-14";"4";"87";"478";"MAURITANIA";"https://twitter.com/maimounalo2/status/1272272534357016581";
"2020-06-14 22:44:01";"2020-06-14";"57";"1480";"710";"SOUTH AFRICA";"https://twitter.com/DrZweliMkhize/status/1272267670336032777";
"2020-06-14 22:37:31";"2020-06-14";"1";"276";"120";"CAMEROON";"https://twitter.com/MinsanteCMR/status/1272261846645514241";
"2020-06-14 21:37:59";"2020-06-14";"91";"1575";"818";"EGYPT";"https://twitter.com/mohpegypt/status/1272250022839693317";
"2020-06-14 20:37:38";"2020-06-14";"7";"767";"12";"ALGERIA";"https://twitter.com/ObservAlgerie/status/1272229610911158274";
"2020-06-14 20:19:01";"2020-06-14";"1";"6";"454";"MALAWI";"https://twitter.com/NationOnlineMw/status/1272208671343329280/photo/1";
"2020-06-14 20:14:27";"2020-06-14";"3";"30";"728";"SOUTH SUDAN";"https://twitter.com/TheRadioCommun1/status/1272210693324972037";
"2020-06-14 20:11:22";"2020-06-14";"1";"4";"748";"ESWATINI";"https://twitter.com/EswatiniGovern1/status/1272215273525989379";
"2020-06-14 20:06:42";"2020-06-14";"1";"11";"894";"ZAMBIA";"https://twitter.com/ZMPublicHealth/status/1272221012860559362";
"2020-06-14 18:30:25";"2020-06-14";"1";"73";"148";"CHAD";"https://twitter.com/Covid19TD/status/1272194076268527616";
"2020-06-14 18:26:56";"2020-06-14";"3";"103";"404";"KENYA";"https://twitter.com/MOH_Kenya/status/1272195016778285057/photo/2";
"2020-06-14 17:15:54";"2020-06-14";"1";"88";"706";"SOMALIA";"https://twitter.com/MoH_Somalia/status/1272183961301782528";
"2020-06-14 17:07:33";"2020-06-14";"2";"43";"262";"DJIBOUTI";"https://twitter.com/MinSantedj/status/1272183484069613568";
"2020-06-14 16:59:11";"2020-06-14";"1";"3";"508";"MOZAMBIQUE";"https://twitter.com/IMocambique/status/1272160770311303168";
"2020-06-14 15:35:49";"2020-06-14";"2";"57";"231";"ETHIOPIA";"https://twitter.com/FMoHealth/status/1272147492533043205/photo/2";
"2020-06-14 12:51:14";"2020-06-14";"2";"60";"686";"SENEGAL";"https://twitter.com/cousenegal/status/1272111320129769472";
"2020-06-14 12:42:26";"2020-06-14";"2";"8";"434";"LIBYA";"https://twitter.com/Lyobserver/status/1272114615044972544";
"2020-06-15 22:43:32";"2020-06-13";"9";"468";"729";"SUDAN";"https://twitter.com/SDN_Health/status/1272630426352435202/photo/1";
"2020-06-14 23:53:44";"2020-06-13";"6";"54";"288";"GHANA";"https://www.primenewsghana.com/general-news/ghana-s-covid-19-cases-increase-to-11-964-as-death-toll-rises-to-54.html";
"2020-06-14 22:36:31";"2020-06-13";"2";"275";"120";"CAMEROON";"https://twitter.com/MinsanteCMR/status/1272261846645514241";
"2020-06-14 21:40:08";"2020-06-13";"1";"7";"204";"BENIN";"https://twitter.com/gouvbenin/status/1272249402539868160";
"2020-06-14 12:48:53";"2020-06-13";"1";"107";"180";"DRC";"https://mailchi.mp/7898d8ada20a/covid-19-bulletin-n82-du-samedi-13-juin-2020";
"2020-06-14 01:00:36";"2020-06-13";"8";"407";"566";"NIGERIA";"https://twitter.com/NCDCgov/status/1271936083819933703";
"2020-06-13 22:41:29";"2020-06-13";"1";"66";"562";"NIGER";"https://twitter.com/MinSanteNiger/status/1271902666252324867";
"2020-06-13 22:08:27";"2020-06-13";"62";"1484";"818";"EGYPT";"https://twitter.com/mohpegypt/status/1271886550654124032";
"2020-06-13 21:55:43";"2020-06-13";"69";"1423";"710";"SOUTH AFRICA";"https://twitter.com/DrZweliMkhize/status/1271887868345057280";
"2020-06-13 21:01:24";"2020-06-13";"2";"83";"478";"MAURITANIA";"https://twitter.com/lassanawelt/status/1271879936735956993";
"2020-06-13 20:48:48";"2020-06-13";"1";"6";"24";"ANGOLA";"https://twitter.com/COVID19GovAo/status/1271874062676041728";
"2020-06-13 19:53:16";"2020-06-13";"3";"104";"466";"MALI";"https://twitter.com/GouvernementM/status/1271856205263142915";
"2020-06-13 18:37:05";"2020-06-13";"2";"27";"728";"SOUTH SUDAN";"https://twitter.com/TheRadioCommun1/status/1271843363562704897";
"2020-06-13 18:33:58";"2020-06-13";"9";"760";"12";"ALGERIA";"https://twitter.com/ObservAlgerie/status/1271841531142574081";
"2020-06-13 18:23:03";"2020-06-13";"3";"41";"262";"DJIBOUTI";"https://twitter.com/MinSantedj/status/1271810391476142085";
"2020-06-13 18:17:23";"2020-06-13";"2";"87";"706";"SOMALIA";"https://twitter.com/MoH_Somalia/status/1271812380138356737";
"2020-06-13 18:15:38";"2020-06-13";"1";"5";"454";"MALAWI";"https://twitter.com/amizere/status/1271816693568999424";
"2020-06-13 18:13:57";"2020-06-13";"4";"100";"404";"KENYA";"https://twitter.com/MOH_Kenya/status/1271823676334358531";
"2020-06-13 14:30:34";"2020-06-13";"1";"6";"434";"LIBYA";"https://twitter.com/Lyobserver/status/1271776938911301632/photo/1";
"2020-06-13 14:16:44";"2020-06-13";"8";"55";"231";"ETHIOPIA";"https://twitter.com/FMoHealth/status/1271771652246962176/photo/1";
"2020-06-13 12:15:24";"2020-06-13";"2";"58";"686";"SENEGAL";"https://twitter.com/MinisteredelaS1/status/1271747239652835330";
"2020-06-15 00:43:26";"2020-06-12";"12";"459";"729";"SUDAN";"https://twitter.com/SDN_Health/status/1272298085159440385";
"2020-06-13 20:54:01";"2020-06-12";"1";"25";"324";"GUINEA";"https://twitter.com/anss_guinee/status/1271862508807163905";
"2020-06-13 11:53:38";"2020-06-12";"2";"273";"120";"CAMEROON";"https://www.facebook.com/MINSANTE.PageOfficielle/photos/pcb.3614973658518086/3614973331851452/?type=3&theater";
"2020-06-13 11:29:13";"2020-06-12";"5";"106";"180";"DRC";"https://us3.campaign-archive.com/?u=b34a30571d429859fb249533d&id=d562bfe2a6";
"2020-06-13 00:52:45";"2020-06-12";"12";"399";"566";"NIGERIA";"https://twitter.com/NCDCgov/status/1271574010871058434";
