confirmedCode;date;confirmedQuantity;confirmedTotalQuantity;nameCountry;nameDataset
Confirmed-000001;2020-06-16;1567;47856;Egipto;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000002;2020-06-16;170;2057;Mauritania;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000003;2020-06-16;24;636;Ruanda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000004;2020-06-16;22;782;Cabo Verde;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000005;2020-06-16;29;638;Mozambique;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000006;2020-06-16;3;853;Chad;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000007;2020-06-16;3;145;Angola;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000008;2020-06-16;4;391;Zimbabue;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000009;2020-06-16;229;12193;Ghana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000010;2020-06-16;49;1225;Sierra Leona;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000011;2020-06-16;10;8931;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000012;2020-06-16;12;121;Eritrea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000013;2020-06-16;25;1885;Mali;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000014;2020-06-16;9;564;Malaui;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000015;2020-06-16;133;3860;Kenia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000016;2020-06-16;23;1405;Zambia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000017;2020-06-16;38;4539;Yibuti;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000018;2020-06-16;16;2658;Somalia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000019;2020-06-16;31;1807;Sudán del Sur;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000020;2020-06-16;14;520;Suazilandia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000021;2020-06-16;109;3630;Etiopía;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000022;2020-06-16;27;1317;Madagascar;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000023;2020-06-16;74;5247;Senegal;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000024;2020-06-16;36;8921;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000025;2020-06-16;2;34;Namibia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000026;2020-06-16;13;467;Libia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000027;2020-06-15;4;34;Gambia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000028;2020-06-15;67;4639;Guinea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000029;2020-06-15;21;197;Comoras;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000030;2020-06-15;121;2410;República Centroafricana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000031;2020-06-15;15;1125;Túnez;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000032;2020-06-15;11;509;Liberia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000033;2020-06-15;137;4974;República Democrática del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000034;2020-06-15;19;724;Uganda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000035;2020-06-15;49;532;Benín;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000036;2020-06-15;570;4033;Gabón;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000037;2020-06-15;112;11031;Argelia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000038;2020-06-15;573;16658;Nigeria;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000039;2020-06-15;3495;73533;Sudáfrica;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000040;2020-06-15;1;532;Togo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000041;2020-06-15;104;1887;Mauritania;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000042;2020-06-15;10;760;Cabo Verde;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000043;2020-06-15;355;5439;Costa de Marfil;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000044;2020-06-15;30;612;Ruanda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000045;2020-06-15;2;142;Angola;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000046;2020-06-15;1691;46289;Egipto;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000047;2020-06-15;276;10140;Camerún;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000048;2020-06-15;4;387;Zimbabue;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000049;2020-06-15;16;506;Suazilandia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000050;2020-06-15;26;609;Mozambique;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000051;2020-06-15;8;555;Malaui;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000052;2020-06-15;21;1776;Sudán del Sur;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000053;2020-06-15;36;4501;Yibuti;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000054;2020-06-15;13;109;Eritrea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000055;2020-06-15;47;8885;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000056;2020-06-15;39;2642;Somalia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000057;2020-06-15;24;1382;Zambia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000058;2020-06-15;7;1176;Sierra Leona;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000059;2020-06-15;133;3727;Kenia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000060;2020-06-15;176;3521;Etiopía;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000061;2020-06-15;51;1860;Mali;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000062;2020-06-15;18;1290;Madagascar;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000063;2020-06-15;36;454;Libia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000064;2020-06-15;83;5173;Senegal;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000065;2020-06-15;45;8838;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000066;2020-06-15;10;104;Burundi;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000067;2020-06-14;1;895;Burkina Faso;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000068;2020-06-14;38;4572;Guinea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000069;2020-06-14;2;30;Gambia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000070;2020-06-14;32;1492;Guinea-Bisáu;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000071;2020-06-14;67;2289;República Centroafricana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000072;2020-06-14;40;498;Liberia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000073;2020-06-14;14;1110;Túnez;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000074;2020-06-14;104;883;República del Congo;confirmed_cases_africa_ncov_2020-06-16
