recoveredCode;date;recoveredQuantity;recoveredTotalQuantity;nameCountry;nameDataset
Recovered-000001;2020-06-16;401;12730;Egipto;recovered_cases_africa_ncov_2020-06-16
Recovered-000002;2020-06-16;13;373;Mauritania;recovered_cases_africa_ncov_2020-06-16
Recovered-000003;2020-06-16;68;3327;Guinea;recovered_cases_africa_ncov_2020-06-16
Recovered-000004;2020-06-16;14;354;Cabo Verde;recovered_cases_africa_ncov_2020-06-16
Recovered-000005;2020-06-16;3;160;Mozambique;recovered_cases_africa_ncov_2020-06-16
Recovered-000006;2020-06-16;8;62;Zimbabue;recovered_cases_africa_ncov_2020-06-16
Recovered-000007;2020-06-16;68;4326;Ghana;recovered_cases_africa_ncov_2020-06-16
Recovered-000008;2020-06-16;3;686;Sierra Leona;recovered_cases_africa_ncov_2020-06-16
Recovered-000009;2020-06-16;57;7937;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000010;2020-06-16;20;1145;Mali;recovered_cases_africa_ncov_2020-06-16
Recovered-000011;2020-06-16;4;73;Malaui;recovered_cases_africa_ncov_2020-06-16
Recovered-000012;2020-06-16;42;1328;Kenia;recovered_cases_africa_ncov_2020-06-16
Recovered-000013;2020-06-16;141;3324;Yibuti;recovered_cases_africa_ncov_2020-06-16
Recovered-000014;2020-06-16;1;222;Liberia;recovered_cases_africa_ncov_2020-06-16
Recovered-000015;2020-06-16;27;649;Somalia;recovered_cases_africa_ncov_2020-06-16
Recovered-000016;2020-06-16;31;89;Sudán del Sur;recovered_cases_africa_ncov_2020-06-16
Recovered-000017;2020-06-16;10;259;Suazilandia;recovered_cases_africa_ncov_2020-06-16
Recovered-000018;2020-06-16;118;738;Etiopía;recovered_cases_africa_ncov_2020-06-16
Recovered-000019;2020-06-16;33;417;Madagascar;recovered_cases_africa_ncov_2020-06-16
Recovered-000020;2020-06-16;101;3525;Senegal;recovered_cases_africa_ncov_2020-06-16
Recovered-000021;2020-06-16;52;7880;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000022;2020-06-16;1;18;Namibia;recovered_cases_africa_ncov_2020-06-16
Recovered-000023;2020-06-16;7;70;Libia;recovered_cases_africa_ncov_2020-06-16
Recovered-000024;2020-06-15;13;127;Comoras;recovered_cases_africa_ncov_2020-06-16
Recovered-000025;2020-06-15;14;396;República Centroafricana;recovered_cases_africa_ncov_2020-06-16
Recovered-000026;2020-06-15;3;1002;Túnez;recovered_cases_africa_ncov_2020-06-16
Recovered-000027;2020-06-15;15;628;República Democrática del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000028;2020-06-15;52;351;Uganda;recovered_cases_africa_ncov_2020-06-16
Recovered-000029;2020-06-15;8;236;Benín;recovered_cases_africa_ncov_2020-06-16
Recovered-000030;2020-06-15;310;1334;Gabón;recovered_cases_africa_ncov_2020-06-16
Recovered-000031;2020-06-15;129;7735;Argelia;recovered_cases_africa_ncov_2020-06-16
Recovered-000032;2020-06-15;129;5349;Nigeria;recovered_cases_africa_ncov_2020-06-16
Recovered-000033;2020-06-15;1336;39867;Sudáfrica;recovered_cases_africa_ncov_2020-06-16
Recovered-000034;2020-06-15;9;308;Togo;recovered_cases_africa_ncov_2020-06-16
Recovered-000035;2020-06-15;28;360;Mauritania;recovered_cases_africa_ncov_2020-06-16
Recovered-000036;2020-06-15;39;340;Cabo Verde;recovered_cases_africa_ncov_2020-06-16
Recovered-000037;2020-06-15;85;2590;Costa de Marfil;recovered_cases_africa_ncov_2020-06-16
Recovered-000038;2020-06-15;6;338;Ruanda;recovered_cases_africa_ncov_2020-06-16
Recovered-000039;2020-06-15;3;64;Angola;recovered_cases_africa_ncov_2020-06-16
Recovered-000040;2020-06-15;398;12329;Egipto;recovered_cases_africa_ncov_2020-06-16
Recovered-000041;2020-06-15;31;5601;Camerún;recovered_cases_africa_ncov_2020-06-16
Recovered-000042;2020-06-15;6;157;Mozambique;recovered_cases_africa_ncov_2020-06-16
Recovered-000043;2020-06-15;233;3183;Yibuti;recovered_cases_africa_ncov_2020-06-16
Recovered-000044;2020-06-15;49;7828;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000045;2020-06-15;45;622;Somalia;recovered_cases_africa_ncov_2020-06-16
Recovered-000046;2020-06-15;20;1142;Zambia;recovered_cases_africa_ncov_2020-06-16
Recovered-000047;2020-06-15;3;683;Sierra Leona;recovered_cases_africa_ncov_2020-06-16
Recovered-000048;2020-06-15;33;1286;Kenia;recovered_cases_africa_ncov_2020-06-16
Recovered-000049;2020-06-15;75;620;Etiopía;recovered_cases_africa_ncov_2020-06-16
Recovered-000050;2020-06-15;37;1125;Mali;recovered_cases_africa_ncov_2020-06-16
Recovered-000051;2020-06-15;17;384;Madagascar;recovered_cases_africa_ncov_2020-06-16
Recovered-000052;2020-06-15;1;63;Libia;recovered_cases_africa_ncov_2020-06-16
Recovered-000053;2020-06-15;80;3424;Senegal;recovered_cases_africa_ncov_2020-06-16
Recovered-000054;2020-06-15;14;7779;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000055;2020-06-15;14;75;Burundi;recovered_cases_africa_ncov_2020-06-16
Recovered-000056;2020-06-14;2;809;Burkina Faso;recovered_cases_africa_ncov_2020-06-16
Recovered-000057;2020-06-14;25;3259;Guinea;recovered_cases_africa_ncov_2020-06-16
Recovered-000058;2020-06-14;13;382;República Centroafricana;recovered_cases_africa_ncov_2020-06-16
Recovered-000059;2020-06-14;2;221;Liberia;recovered_cases_africa_ncov_2020-06-16
Recovered-000060;2020-06-14;1;999;Túnez;recovered_cases_africa_ncov_2020-06-16
Recovered-000061;2020-06-14;130;391;República del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000062;2020-06-14;4;885;Níger;recovered_cases_africa_ncov_2020-06-16
Recovered-000063;2020-06-14;59;299;Uganda;recovered_cases_africa_ncov_2020-06-16
Recovered-000064;2020-06-14;13;613;República Democrática del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000065;2020-06-14;119;5220;Nigeria;recovered_cases_africa_ncov_2020-06-16
Recovered-000066;2020-06-14;1;177;Santo Tomé y Príncipe;recovered_cases_africa_ncov_2020-06-16
Recovered-000067;2020-06-14;21;332;Mauritania;recovered_cases_africa_ncov_2020-06-16
Recovered-000068;2020-06-14;1681;38531;Sudáfrica;recovered_cases_africa_ncov_2020-06-16
Recovered-000069;2020-06-14;8;299;Togo;recovered_cases_africa_ncov_2020-06-16
Recovered-000070;2020-06-14;108;2505;Costa de Marfil;recovered_cases_africa_ncov_2020-06-16
Recovered-000071;2020-06-14;402;11931;Egipto;recovered_cases_africa_ncov_2020-06-16
Recovered-000072;2020-06-14;3;301;Cabo Verde;recovered_cases_africa_ncov_2020-06-16
Recovered-000073;2020-06-14;186;7606;Argelia;recovered_cases_africa_ncov_2020-06-16
Recovered-000074;2020-06-14;1;69;Malaui;recovered_cases_africa_ncov_2020-06-16
Recovered-000075;2020-06-14;9;58;Sudán del Sur;recovered_cases_africa_ncov_2020-06-16
Recovered-000076;2020-06-14;2;249;Suazilandia;recovered_cases_africa_ncov_2020-06-16
Recovered-000077;2020-06-14;40;7765;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000078;2020-06-14;8;1122;Zambia;recovered_cases_africa_ncov_2020-06-16
Recovered-000079;2020-06-14;2;720;Chad;recovered_cases_africa_ncov_2020-06-16
Recovered-000080;2020-06-14;32;1253;Kenia;recovered_cases_africa_ncov_2020-06-16
Recovered-000081;2020-06-14;30;1088;Mali;recovered_cases_africa_ncov_2020-06-16
Recovered-000082;2020-06-14;18;577;Somalia;recovered_cases_africa_ncov_2020-06-16
Recovered-000083;2020-06-14;127;2950;Yibuti;recovered_cases_africa_ncov_2020-06-16
Recovered-000084;2020-06-14;10;680;Sierra Leona;recovered_cases_africa_ncov_2020-06-16
Recovered-000085;2020-06-14;50;545;Etiopía;recovered_cases_africa_ncov_2020-06-16
Recovered-000086;2020-06-14;116;3344;Senegal;recovered_cases_africa_ncov_2020-06-16
Recovered-000087;2020-06-14;3;62;Libia;recovered_cases_africa_ncov_2020-06-16
Recovered-000088;2020-06-14;5;367;Madagascar;recovered_cases_africa_ncov_2020-06-16
Recovered-000089;2020-06-14;29;7725;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000090;2020-06-13;110;2720;Sudán;recovered_cases_africa_ncov_2020-06-16
Recovered-000091;2020-06-13;3;807;Burkina Faso;recovered_cases_africa_ncov_2020-06-16
Recovered-000092;2020-06-13;279;4258;Ghana;recovered_cases_africa_ncov_2020-06-16
Recovered-000093;2020-06-13;13;5570;Camerún;recovered_cases_africa_ncov_2020-06-16
Recovered-000094;2020-06-13;21;3234;Guinea;recovered_cases_africa_ncov_2020-06-16
Recovered-000095;2020-06-13;6;369;República Centroafricana;recovered_cases_africa_ncov_2020-06-16
Recovered-000096;2020-06-13;3;998;Túnez;recovered_cases_africa_ncov_2020-06-16
Recovered-000097;2020-06-13;5;219;Liberia;recovered_cases_africa_ncov_2020-06-16
Recovered-000098;2020-06-13;5;600;República Democrática del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000099;2020-06-13;41;240;Uganda;recovered_cases_africa_ncov_2020-06-16
Recovered-000100;2020-06-13;210;5101;Nigeria;recovered_cases_africa_ncov_2020-06-16
Recovered-000101;2020-06-13;12;291;Togo;recovered_cases_africa_ncov_2020-06-16
Recovered-000102;2020-06-13;9;176;Santo Tomé y Príncipe;recovered_cases_africa_ncov_2020-06-16
Recovered-000103;2020-06-13;134;2397;Costa de Marfil;recovered_cases_africa_ncov_2020-06-16
Recovered-000104;2020-06-13;4;298;Cabo Verde;recovered_cases_africa_ncov_2020-06-16
Recovered-000105;2020-06-13;421;11529;Egipto;recovered_cases_africa_ncov_2020-06-16
Recovered-000106;2020-06-13;1842;36850;Sudáfrica;recovered_cases_africa_ncov_2020-06-16
Recovered-000107;2020-06-13;11;332;Ruanda;recovered_cases_africa_ncov_2020-06-16
Recovered-000108;2020-06-13;33;311;Mauritania;recovered_cases_africa_ncov_2020-06-16
Recovered-000109;2020-06-13;20;61;Angola;recovered_cases_africa_ncov_2020-06-16
Recovered-000110;2020-06-13;10;1114;Zambia;recovered_cases_africa_ncov_2020-06-16
Recovered-000111;2020-06-13;3;54;Zimbabue;recovered_cases_africa_ncov_2020-06-16
Recovered-000112;2020-06-13;32;7696;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000113;2020-06-13;1;247;Suazilandia;recovered_cases_africa_ncov_2020-06-16
Recovered-000114;2020-06-13;6;151;Mozambique;recovered_cases_africa_ncov_2020-06-16
Recovered-000115;2020-06-13;35;1058;Mali;recovered_cases_africa_ncov_2020-06-16
Recovered-000116;2020-06-13;7;718;Chad;recovered_cases_africa_ncov_2020-06-16
Recovered-000117;2020-06-13;98;7420;Argelia;recovered_cases_africa_ncov_2020-06-16
Recovered-000118;2020-06-13;3;68;Malaui;recovered_cases_africa_ncov_2020-06-16
Recovered-000119;2020-06-13;93;2823;Yibuti;recovered_cases_africa_ncov_2020-06-16
Recovered-000120;2020-06-13;27;559;Somalia;recovered_cases_africa_ncov_2020-06-16
Recovered-000121;2020-06-13;57;1221;Kenia;recovered_cases_africa_ncov_2020-06-16
Recovered-000122;2020-06-13;22;670;Sierra Leona;recovered_cases_africa_ncov_2020-06-16
Recovered-000123;2020-06-13;44;495;Etiopía;recovered_cases_africa_ncov_2020-06-16
Recovered-000124;2020-06-13;18;362;Madagascar;recovered_cases_africa_ncov_2020-06-16
Recovered-000125;2020-06-13;128;3228;Senegal;recovered_cases_africa_ncov_2020-06-16
Recovered-000126;2020-06-13;46;7664;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000127;2020-06-12;54;2610;Sudán;recovered_cases_africa_ncov_2020-06-16
Recovered-000128;2020-06-12;5;804;Burkina Faso;recovered_cases_africa_ncov_2020-06-16
Recovered-000129;2020-06-12;6;228;Benín;recovered_cases_africa_ncov_2020-06-16
Recovered-000130;2020-06-12;2;24;Gambia;recovered_cases_africa_ncov_2020-06-16
Recovered-000131;2020-06-12;17;114;Comoras;recovered_cases_africa_ncov_2020-06-16
Recovered-000132;2020-06-12;28;278;Mauritania;recovered_cases_africa_ncov_2020-06-16
Recovered-000133;2020-06-12;107;3213;Guinea;recovered_cases_africa_ncov_2020-06-16
Recovered-000134;2020-06-12;4;214;Liberia;recovered_cases_africa_ncov_2020-06-16
Recovered-000135;2020-06-12;15;595;República Democrática del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000136;2020-06-12;38;199;Uganda;recovered_cases_africa_ncov_2020-06-16
Recovered-000137;2020-06-12;58;3979;Ghana;recovered_cases_africa_ncov_2020-06-16
Recovered-000138;2020-06-12;32;261;República del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000139;2020-06-12;397;4891;Nigeria;recovered_cases_africa_ncov_2020-06-16
Recovered-000140;2020-06-12;240;515;Guinea Ecuatorial;recovered_cases_africa_ncov_2020-06-16
Recovered-000141;2020-06-12;8;279;Togo;recovered_cases_africa_ncov_2020-06-16
Recovered-000142;2020-06-12;51;2263;Costa de Marfil;recovered_cases_africa_ncov_2020-06-16
Recovered-000143;2020-06-12;1756;35008;Sudáfrica;recovered_cases_africa_ncov_2020-06-16
Recovered-000144;2020-06-12;6;648;Sierra Leona;recovered_cases_africa_ncov_2020-06-16
Recovered-000145;2020-06-12;11;167;Santo Tomé y Príncipe;recovered_cases_africa_ncov_2020-06-16
Recovered-000146;2020-06-12;417;11108;Egipto;recovered_cases_africa_ncov_2020-06-16
Recovered-000147;2020-06-12;3;881;Níger;recovered_cases_africa_ncov_2020-06-16
Recovered-000148;2020-06-12;5;711;Chad;recovered_cases_africa_ncov_2020-06-16
Recovered-000149;2020-06-12;8;321;Ruanda;recovered_cases_africa_ncov_2020-06-16
Recovered-000150;2020-06-12;1;49;Sudán del Sur;recovered_cases_africa_ncov_2020-06-16
Recovered-000151;2020-06-12;18;7618;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000152;2020-06-12;68;7322;Argelia;recovered_cases_africa_ncov_2020-06-16
Recovered-000153;2020-06-12;1;145;Mozambique;recovered_cases_africa_ncov_2020-06-16
Recovered-000154;2020-06-12;34;1023;Mali;recovered_cases_africa_ncov_2020-06-16
Recovered-000155;2020-06-12;211;2730;Yibuti;recovered_cases_africa_ncov_2020-06-16
Recovered-000156;2020-06-12;8;246;Suazilandia;recovered_cases_africa_ncov_2020-06-16
Recovered-000157;2020-06-12;26;1104;Zambia;recovered_cases_africa_ncov_2020-06-16
Recovered-000158;2020-06-12;72;1164;Kenia;recovered_cases_africa_ncov_2020-06-16
Recovered-000159;2020-06-12;29;217;Benín;recovered_cases_africa_ncov_2020-06-16
Recovered-000160;2020-06-12;32;344;Madagascar;recovered_cases_africa_ncov_2020-06-16
Recovered-000161;2020-06-12;17;451;Etiopía;recovered_cases_africa_ncov_2020-06-16
Recovered-000162;2020-06-12;17;7600;Marruecos;recovered_cases_africa_ncov_2020-06-16
Recovered-000163;2020-06-12;106;3100;Senegal;recovered_cases_africa_ncov_2020-06-16
Recovered-000164;2020-06-11;140;2556;Sudán;recovered_cases_africa_ncov_2020-06-16
Recovered-000165;2020-06-11;5;222;Benín;recovered_cases_africa_ncov_2020-06-16
Recovered-000166;2020-06-11;73;3106;Guinea;recovered_cases_africa_ncov_2020-06-16
Recovered-000167;2020-06-11;3;363;República Centroafricana;recovered_cases_africa_ncov_2020-06-16
Recovered-000168;2020-06-11;4;210;Liberia;recovered_cases_africa_ncov_2020-06-16
Recovered-000169;2020-06-11;6;995;Túnez;recovered_cases_africa_ncov_2020-06-16
Recovered-000170;2020-06-11;9;1078;Zambia;recovered_cases_africa_ncov_2020-06-16
Recovered-000171;2020-06-11;83;5557;Camerún;recovered_cases_africa_ncov_2020-06-16
Recovered-000172;2020-06-11;97;3921;Ghana;recovered_cases_africa_ncov_2020-06-16
Recovered-000173;2020-06-11;41;161;Uganda;recovered_cases_africa_ncov_2020-06-16
Recovered-000174;2020-06-11;13;580;República Democrática del Congo;recovered_cases_africa_ncov_2020-06-16
Recovered-000175;2020-06-11;143;4494;Nigeria;recovered_cases_africa_ncov_2020-06-16
Recovered-000176;2020-06-11;46;1024;Gabón;recovered_cases_africa_ncov_2020-06-16
