Nombre;Código;latitud;longitud;población;pib;Provincia
Accra;;;;;;Greater Accra Region
Kumasi;;;;;;Ashanti Region
Tema;;;;;;Greater Accra Region
Wa;;;;;;Upper West Region
Tamale;;;;;;Northern Region
Conakry;;;;;;Conakry
Bisáu;;;;;;Bisáu
Malabo;;;;;;Bioko Norte
Bata;;;;;;Litoral
Nairobi;;;;;;Nairobi
Kajiado;;;;;;Kajiado
Msambweni;;;;;;Kwale
Mombasa;;;;;;Mombasa
Tanga;;;;;;Tanga
Cabral;;;;;;Monrovia
Monrovia;;;;;;Monrovia
Sinkor;;;;;;Monrovia
Antananarivo;;;;;;Antananarivo
Bameko;;;;;;Bakamo
Kayes;;;;;;Kayes
Candos;;;;;;Gourdon
Souillac;;;;;;Gourdon
Nouakchott;;;;;;Nouakchott
Maputo;;;;;;Maputo
Windhoek;;;;;;Khomas
Niamey;;;;;;Niamey Capital District
Maradi;;;;;;Niamey Capital District
Dioundiou;;;;;;Niamey Capital District
Ogun;;;;;;Ogun
Lagos;;;;;;Lagos
Ekiti;;;;;;Ekiti
Lekki;;;;;;Lagos
FCT;;;;;;Abuja
Ibadan;;;;;;Oyo
Bauchi;;;;;;Bauchi
Bangui;;;;;;Bangui
Kinshasa;;;;;;Kinshasa
Kinsasa;;;;;;Kinsasa
Kigali;;;;;;Kigali
Dakar;;;;;;Dakar
Diourbel;;;;;;Diourbel
Thies;;;;;;Thies
Mbour;;;;;;Thies
Saint-Louis;;;;;;Saint-Louis
Ziguinchor;;;;;;Ziguinchor
Perseverance;;;;;;Perseverance
Mogadishu;;;;;;Mogadishu
Ciudad del Cabo;;;;;;El Cabo Occidental
Khartoum;;;;;;Khartoum
Dar es Salaam;;;;;;Dar es Salaam
Zanzibar;;;;;;Zanzibar
Lomé;;;;;;Marítima
Entebbe;;;;;;Wakiso
Lusaka;;;;;;Lusaka
VicFalls;;;;;;Mat-North
Harare;;;;;;Harare Metro
Mash East;;;;;;Mash East
Bulawayo;;;;;;Bulawayo
Mhondoro;;;;;;Mash East
Murehwa;;;;;;Mash East
Chegutu;;;;;;Mash West
Chinhoyi;;;;;;Mash West
