Nombre;Código;latitud;longitud;población;pib;Provincia
Luanda;;;;;;Luanda
Adrar;;;;;;Adrar
Ain Defla;;;;;;Ain Defla
Ain TÃ©mouchent;;;;;;Ain TÃ©mouchent
Alger;;;;;;Alger
Annaba;;;;;;Annaba
Azazga;;;;;;Tizi Ouzou
Batna;;;;;;Batna
Bechar;;;;;;Bechar
Bejaia;;;;;;Bejaia
Biskra;;;;;;Biskra
Blida;;;;;;Blida
Bordj Bou-Arreridj;;;;;;Bordj Bou-Arreridj
Bouira;;;;;;Bouira
Boumerdes;;;;;;Boumerdes
Chlef;;;;;;Chlef
Constantine;;;;;;Constantine
Djelfa;;;;;;Djelfa
El Oued;;;;;;El Oued
El Tarf;;;;;;El Tarf
Ghardaia;;;;;;Ghardaia
Guelma;;;;;;Guelma
Hassi Messaoud;;;;;;Ouargla
Illizi;;;;;;Illizi
Jijel;;;;;;Jijel
Khenchela;;;;;;Khenchela
Laghouat;;;;;;Laghouat
MÃ©dÃ©a;;;;;;MÃ©dÃ©a
Mascara;;;;;;Mascara
Mila;;;;;;Mila
Mostaganem;;;;;;Mostaganem
M'sila;;;;;;M'sila
Oran;;;;;;Oran
Ouargla;;;;;;Ouargla
Oum El Bouaghi;;;;;;Oum El Bouaghi
Relizane;;;;;;Relizane
SÃ©tif;;;;;;SÃ©tif
Sidi Bel Abbes;;;;;;Sidi Bel Abbes
Skikda;;;;;;Skikda
Souk-Ahras;;;;;;Souk-Ahras
Tebessa;;;;;;Tebessa
Tiaret;;;;;;Tiaret
Tipaza;;;;;;Tipaza
Tissemsilt;;;;;;Tissemsilt
Tizi Ouzou;;;;;;Tizi Ouzou
Tlemcen;;;;;;Tlemcen
Benín ;;;;;;Edo
Ouagadougou;;;;;;Kadiogo
HoundÃˆ;;;;;;Kadiogo
Bobo-Dioulasso;;;;;;Oue
Boromo;;;;;;Balé
DÃˆdougou;;;;;;Balé
Boa Vista;;;;;;Barlovento
Boa Vista;;;;;;Barlovento
Boa Vista;;;;;;Barlovento
Praia;;;;;;Santiago
Yaounde;;;;;;Mfoundi
Douala;;;;;;Wouri
Bafoussam;;;;;;Mifi
Yamena;;;;;;Yamena
Abidjan;;;;;;Dabidjan
Marcory-RÃˆsidentiel;;;;;;Dabidjan
Bonoua;;;;;;Dabidjan
Hurghada;;;;;;Sekalla
Mansurá;;;;;;Dakhalia
Bilqas;;;;;;Dakhalia
Manzalah;;;;;;Dakhalia
Asmara;;;;;;Maekel
Adama;;;;;;Oromia
Addis Ababa;;;;;;Addis Ababa
Addis Kidame;;;;;;Amhara
Afar;;;;;;Afar
Bahir Dar;;;;;;Amhara
Batu;;;;;;Oromia
Dire Dawa;;;;;;Dire Dawa
Dukem;;;;;;Oromia
Gewane;;;;;;Afar
JigJiga;;;;;;Somali
Jimma;;;;;;Oromia
Sebeta;;;;;;Oromia
Silti;;;;;;SNNPR
West Hararge;;;;;;Oromia
Akanda;;;;;;Estuaire
Libreville;;;;;;Estuaire
Louis;;;;;;Estuaire
Fajara;;;;;;Serekunda
Banjul;;;;;;Banjul
Numuyel;;;;;;Fulladu East
