Dataset;Description;URL;Date carga;Date Edicion;Catalogo
line-list-algeria;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-algeria.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
line-list-angola;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-angola.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
line-list-benin;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-benin.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
line-list-burkina-faso;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-burkina-faso.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
line-list-cabo-verde;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-cabo-verde.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
line-list-cameroon;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-cameroon.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
line-list-central-african-republic;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-central-african-republic.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
line-list-chad;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-chad.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
line-list-cote-divoire;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-cote-divoire.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
line-list-democratic-republic-of-the-congo;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-democratic-republic-of-the-congo.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
line-list-djibouti;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-djibouti.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
line-list-egypt;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-egypt.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
line-list-equatorial-guinea;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-equatorial-guinea.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
line-list-eritrea;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-eritrea.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
line-list-eswatini;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-eswatini.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
line-list-ethiopia;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-ethiopia.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
line-list-gabon;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-gabon.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
line-list-gambia;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-gambia.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
line-list-ghana;;https://github.com/dsfsi/covid19africa/blob/master/data/line_lists/line-list-ghana.csv;2020-03-01;2020-05-30;Coronavirus COVID -19 Data Repository for Africa
